# mu values:
1.295000, 1.490000, 1.510000, 4.000000, 10.000000, 20.000000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.004, 0.137964, 0.137963, 1
0.005, 0.128694, 0.128694, 1
0.006, 0.12144, 0.121438, 1.00002
0.007, 0.115521, 0.115521, 1
0.008, 0.110553, 0.110552, 1.00001
0.009, 0.106291, 0.106291, 0.999999
0.01, 0.102566, 0.102566, 1
0.02, 0.0801882, 0.080188, 1
0.03, 0.0687567, 0.0687559, 1.00001
0.04, 0.0613961, 0.0613958, 1
0.05, 0.0561389, 0.0561388, 1
0.06, 0.0521561, 0.052154, 1.00004
0.07, 0.0490188, 0.0490186, 1
0.08, 0.0464892, 0.0464889, 1.00001
0.09, 0.0444083, 0.044408, 1.00001
0.1, 0.0426763, 0.0426763, 1
0.2, 0.0349538, 0.0349538, 1
0.3, 0.0346863, 0.0346861, 1.00001
0.4, 0.0384151, 0.0384152, 0.999998
0.5, 0.0458601, 0.0458602, 0.999999
0.6, 0.056123, 0.0561231, 0.999999
0.7, 0.0655718, 0.0655717, 1
0.8, 0.0663007, 0.0663023, 0.999976
0.9, 0.046247, 0.046247, 1
0.0001, -6.93889e-18, 0, -inf
0.0002, 1.3968e-20, 0, inf
0.0003, 5.73043e-18, 0, inf
0.0004, -1.65021e-17, 0, -inf
0.0005, -1.13241e-19, 0, -inf
0.0006, -9.63349e-18, 0, -inf
0.0007, 3.66021e-18, 0, inf
0.0008, -5.12501e-18, 0, -inf
0.0009, 1.01175e-18, 0, inf
0.001, -1.04083e-17, 0, -inf
0.002, -3.75245e-18, 0, -inf
0.003, -9.57093e-18, 0, -inf
0.004, -9.20784e-19, 0, -inf
0.005, 8.1727e-21, 0, inf
0.006, -4.76719e-18, 0, -inf
0.007, 7.53985e-20, 0, inf
0.008, -3.48891e-18, 0, -inf
0.009, -3.25058e-18, 0, -inf
0.01, -3.46945e-18, 0, -inf
0.02, -1.46813e-18, 0, -inf
0.03, -3.53633e-19, 0, -inf
0.04, -3.35238e-18, 0, -inf
0.05, -1.73055e-18, 0, -inf
0.06, 1.25624e-19, 0, inf
0.07, -3.16506e-18, 0, -inf
0.08, -4.83663e-18, 0, -inf
0.09, -1.72434e-18, 0, -inf
0.1, -1.73472e-18, 0, -inf
0.2, 2.1313e-18, 0, inf
0.3, -9.56274e-18, 0, -inf
0.4, -9.52927e-18, 0, -inf
0.5, 2.16376e-18, 0, inf
0.6, 4.47949e-18, 0, inf
0.7, -3.84375e-18, 0, -inf
0.8, -2.02953e-17, 0, -inf
0.9, -2.07278e-19, 0, -inf
0.0001, -6.93889e-18, 0, -inf
0.0002, -7.28217e-18, 0, -inf
0.0003, -3.88234e-18, 0, -inf
0.0004, -1.94807e-17, 0, -inf
0.0005, 2.74119e-20, 0, inf
0.0006, -4.51102e-18, 0, -inf
0.0007, -1.69281e-17, 0, -inf
0.0008, -1.40313e-17, 0, -inf
0.0009, -8.43505e-18, 0, -inf
0.001, -3.46945e-18, 0, -inf
0.002, -1.04247e-17, 0, -inf
0.003, -9.78566e-18, 0, -inf
0.004, -1.12822e-18, 0, -inf
0.005, -3.52888e-18, 0, -inf
0.006, -1.15187e-17, 0, -inf
0.007, 6.08795e-19, 0, inf
0.008, -1.19082e-17, 0, -inf
0.009, -1.76571e-18, 0, -inf
0.01, -1.04083e-17, 0, -inf
0.02, -8.5555e-18, 0, -inf
0.03, -1.39851e-18, 0, -inf
0.04, -8.08719e-18, 0, -inf
0.05, -5.17105e-18, 0, -inf
0.06, -2.39875e-18, 0, -inf
0.07, -1.04843e-17, 0, -inf
0.08, -5.45495e-18, 0, -inf
0.09, -9.96931e-18, 0, -inf
0.1, -8.67362e-18, 0, -inf
0.2, -8.27704e-18, 0, -inf
0.3, -1.53764e-17, 0, -inf
0.4, -1.56289e-17, 0, -inf
0.5, -5.2794e-18, 0, -inf
0.6, -1.56495e-17, 0, -inf
0.7, -1.76341e-17, 0, -inf
0.8, -1.94885e-17, 0, -inf
0.9, -1.36122e-18, 0, -inf
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
0.0001, 7.60521, 7.67942, 0.990336
0.0002, 6.53693, 6.60088, 0.990312
0.0003, 5.96944, 6.02796, 0.990292
0.0004, 5.59068, 5.64569, 0.990256
0.0005, 5.31, 5.36239, 0.990229
0.0006, 5.0889, 5.13919, 0.990214
0.0007, 4.90746, 4.95611, 0.990184
0.0008, 4.75435, 4.80158, 0.990165
0.0009, 4.62235, 4.66835, 0.990146
0.001, 4.5066, 4.55156, 0.990122
0.002, 3.79823, 3.83668, 0.989979
0.003, 3.42365, 3.45862, 0.989891
0.004, 3.17419, 3.20687, 0.989811
0.005, 2.98952, 3.02047, 0.989753
0.006, 2.84413, 2.87366, 0.989723
0.007, 2.72481, 2.75322, 0.98968
0.008, 2.62412, 2.65155, 0.989656
0.009, 2.53727, 2.56389, 0.98962
0.01, 2.46105, 2.48689, 0.989609
0.02, 1.99274, 2.01368, 0.989604
0.03, 1.74241, 1.76047, 0.989739
0.04, 1.57376, 1.5898, 0.989911
0.05, 1.44751, 1.46196, 0.990116
0.06, 1.34702, 1.36014, 0.99036
0.07, 1.26371, 1.27572, 0.990585
0.08, 1.19271, 1.20374, 0.990831
0.09, 1.13085, 1.14105, 0.991055
0.1, 1.07618, 1.08558, 0.99134
0.2, 0.728034, 0.732252, 0.994239
0.3, 0.531498, 0.533241, 0.996732
0.4, 0.394922, 0.395365, 0.99888
